Student_ID,Age,Gender,Parental_Education,Family_Income_Level,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Internet_Usage_Hours,Assignments_Completed,Previous_Grades,Class_Participation,Extracurricular_Activities,Stress_Level,Teacher_Feedback_Score,Absence_Days,Performance_Level,Dropout_Risk
1374,21,Male,Graduate,High,89.7,1.4,8.6,2.4,76.0,79,8,No,5,1.0,6,Medium,No Risk
1375,25,Female,High School,Medium,67.9,,7.3,1.6,97.0,84,9,No,1,4.0,5,High,No Risk
1376,25,Male,Diploma,Medium,53.4,5.2,6.7,4.1,47.0,62,6,No,8,9.0,5,Low,High Risk
1377,25,Male,Postgraduate,Low,,6.8,7.5,3.7,96.0,74,6,No,6,4.0,3,High,No Risk
1378,24,Female,Graduate,Medium,80.7,3.3,7.8,3.7,95.0,74,2,No,5,1.0,12,High,No Risk
1379,22,Male,High School,Medium,75.3,7.8,6.9,5.2,76.0,51,2,No,3,7.0,6,High,No Risk
1380,22,Male,Diploma,Medium,60.8,4.5,8.1,3.7,82.0,60,7,No,6,10.0,5,Medium,No Risk
1381,25,Female,Graduate,Medium,89.2,4.3,5.5,4.0,70.0,84,5,No,8,10.0,9,High,No Risk
1382,20,Female,Postgraduate,Low,79.8,3.0,7.3,5.8,51.0,66,2,No,6,10.0,9,Medium,No Risk
1383,20,Female,Graduate,Medium,82.3,8.0,8.0,4.0,85.0,100,2,Yes,8,5.0,4,High,No Risk
1384,25,Male,High School,Medium,82.6,4.2,7.7,4.3,80.0,85,7,No,5,9.0,13,High,No Risk
1385,21,Female,Diploma,Medium,63.7,2.1,4.3,1.1,80.0,78,9,No,2,1.0,9,Medium,No Risk
1386,19,Male,High School,Medium,81.3,8.9,6.8,9.8,83.0,92,3,Yes,2,1.0,13,High,No Risk
1387,22,Female,High School,High,88.0,5.2,,0.8,67.0,82,6,No,8,8.0,10,High,No Risk
1388,20,Female,Graduate,High,90.5,5.9,8.5,2.6,98.0,74,3,No,1,1.0,9,High,No Risk
1389,25,Female,Graduate,Medium,85.9,7.5,6.5,2.5,,54,9,No,5,6.0,15,High,No Risk
1390,25,Male,High School,Low,83.6,5.6,8.4,7.1,84.0,81,7,No,3,7.0,13,High,No Risk
1391,20,Male,Graduate,High,58.9,6.3,5.5,2.5,72.0,90,4,No,8,2.0,13,High,High Risk
1392,22,Female,Graduate,High,77.8,4.6,7.5,4.3,92.0,64,5,Yes,3,2.0,13,High,No Risk
1393,25,Male,Graduate,High,67.5,5.8,7.0,2.5,,48,6,Yes,8,2.0,13,Medium,Medium Risk
1394,23,Female,,Medium,92.1,4.4,10.0,1.7,,58,9,Yes,2,10.0,3,High,No Risk
1395,19,Female,Diploma,Low,90.4,4.5,8.4,4.5,94.0,95,5,No,7,3.0,9,High,No Risk
1396,22,Female,High School,Medium,67.5,4.7,8.3,2.3,50.0,73,7,Yes,2,7.0,10,Medium,No Risk
1397,22,Male,High School,Medium,77.5,3.8,9.4,3.9,72.0,91,5,No,5,9.0,6,High,No Risk
1398,23,Male,Diploma,Medium,80.7,5.4,7.3,4.6,,72,3,No,7,,6,High,No Risk
1399,18,Male,Diploma,Medium,87.9,5.4,6.9,6.7,82.0,66,7,Yes,2,3.0,3,High,No Risk
1400,20,Male,High School,Medium,59.6,6.0,6.7,1.4,81.0,100,8,Yes,5,,8,High,Medium Risk
1401,24,Male,High School,Medium,53.7,5.7,7.4,3.2,76.0,67,10,No,8,4.0,6,Medium,High Risk
1402,19,Female,Postgraduate,Medium,78.4,8.1,4.0,3.3,65.0,69,1,Yes,3,10.0,11,High,No Risk
1403,20,Female,Graduate,Medium,,6.4,7.0,3.5,76.0,78,10,No,1,3.0,7,High,Medium Risk
1404,20,Female,Diploma,Medium,79.7,4.1,7.3,7.9,81.0,68,8,Yes,3,2.0,7,High,No Risk
1405,19,Male,Postgraduate,Low,84.5,5.3,6.8,3.2,73.0,82,3,Yes,4,6.0,7,High,No Risk
1406,19,Female,High School,High,,7.0,5.2,0.0,93.0,78,4,Yes,2,10.0,12,High,No Risk
1407,20,Female,Diploma,Medium,71.2,2.8,6.8,3.2,85.0,78,7,Yes,9,8.0,6,Medium,No Risk
1408,24,Female,Graduate,Medium,79.8,8.1,5.2,3.3,76.0,64,4,Yes,7,1.0,5,High,No Risk
1409,18,Female,Diploma,Medium,85.2,3.1,,3.1,41.0,50,4,Yes,6,9.0,10,Low,No Risk
1410,20,Female,High School,Medium,65.1,6.1,6.7,2.3,73.0,61,6,No,5,8.0,6,Medium,No Risk
1411,18,Male,Diploma,Medium,88.1,4.5,4.5,1.3,85.0,62,7,Yes,8,10.0,6,Medium,No Risk
1412,22,Male,Diploma,Low,,4.4,6.8,7.2,72.0,76,10,Yes,7,8.0,7,Medium,No Risk
1413,20,Female,Graduate,High,71.3,2.2,8.1,4.0,81.0,61,9,No,7,5.0,5,Medium,No Risk
1414,24,Male,Diploma,Low,79.6,6.1,7.2,3.2,73.0,53,3,No,4,3.0,6,Medium,No Risk
1415,22,Male,Diploma,High,76.5,2.2,5.9,7.1,79.0,57,2,No,1,10.0,11,Medium,No Risk
1416,24,Male,High School,Medium,86.6,1.9,6.2,2.0,97.0,77,10,No,1,4.0,7,High,No Risk
1417,23,Male,Diploma,Low,74.0,6.6,6.7,4.5,88.0,81,10,Yes,8,6.0,7,High,No Risk
1418,21,Female,High School,Medium,80.5,7.7,6.5,1.4,57.0,65,6,No,9,7.0,8,High,No Risk
1419,24,Female,Postgraduate,Medium,71.2,3.3,5.5,4.8,51.0,67,7,No,1,10.0,9,Medium,No Risk
1420,21,Male,Graduate,High,67.7,6.3,6.9,1.6,83.0,80,3,Yes,1,5.0,14,High,No Risk
1421,25,Male,Diploma,Medium,79.9,5.9,5.4,4.3,94.0,74,7,Yes,3,9.0,10,High,No Risk
1422,25,Female,Graduate,Medium,68.1,4.3,8.1,6.8,51.0,87,7,Yes,4,8.0,7,Medium,No Risk
1423,22,Male,High School,Medium,86.8,6.9,8.3,3.7,,70,3,No,2,2.0,11,High,No Risk
1424,23,Female,Diploma,High,84.5,4.2,5.8,0.0,100.0,61,8,Yes,6,2.0,5,Medium,No Risk
1425,20,Male,Diploma,Medium,69.6,5.4,6.1,3.6,72.0,86,4,No,9,7.0,4,High,No Risk
1426,24,Female,,Medium,80.4,2.2,6.5,4.3,100.0,68,6,No,7,5.0,9,Medium,No Risk
1427,23,Female,Graduate,Medium,69.5,2.3,7.0,5.0,64.0,62,1,No,4,1.0,12,Medium,No Risk
1428,25,Female,Postgraduate,Medium,60.4,6.6,7.3,6.0,66.0,84,2,Yes,5,8.0,7,High,No Risk
1429,20,Male,Diploma,Medium,71.4,5.5,7.6,6.1,65.0,91,7,Yes,10,10.0,7,High,No Risk
1430,24,Female,Diploma,Medium,77.4,4.2,7.5,3.3,57.0,74,9,Yes,8,1.0,6,Medium,No Risk
1431,21,Female,Graduate,High,83.7,7.9,8.9,2.4,51.0,59,6,No,2,10.0,8,High,No Risk
1432,19,Female,High School,Medium,79.6,7.9,7.1,1.6,73.0,92,9,No,5,7.0,9,High,No Risk
1433,19,Male,High School,Medium,88.0,5.3,5.4,2.6,78.0,77,9,No,1,10.0,9,High,No Risk
1434,22,Male,Postgraduate,Medium,67.2,1.9,5.1,4.3,65.0,75,8,Yes,9,6.0,14,Low,No Risk
1435,20,Male,Graduate,Medium,73.9,4.3,9.0,1.2,69.0,67,9,No,7,4.0,11,Medium,No Risk
1436,18,Male,,Medium,96.1,3.0,7.6,1.9,98.0,87,8,No,3,10.0,7,High,No Risk
1437,21,Male,High School,High,56.8,4.7,7.2,4.5,91.0,58,9,No,8,6.0,10,Medium,Medium Risk
1438,23,Female,High School,Medium,73.0,2.8,7.5,2.4,72.0,56,4,Yes,5,10.0,3,Medium,No Risk
1439,20,Male,Diploma,Medium,66.2,2.3,7.2,4.1,82.0,97,4,No,8,3.0,6,Medium,No Risk
1440,25,Male,Postgraduate,High,75.9,0.5,7.5,2.1,51.0,61,5,No,1,7.0,6,Low,No Risk
1441,24,Male,High School,Medium,73.2,4.8,6.6,4.0,80.0,84,6,No,5,6.0,8,High,No Risk
1442,22,Male,High School,Medium,84.6,0.5,8.3,2.2,75.0,90,7,Yes,6,6.0,7,Medium,No Risk
1443,25,Male,High School,Medium,80.8,3.9,6.4,0.3,70.0,75,6,No,2,9.0,6,High,No Risk
1444,21,Female,Graduate,Low,63.6,5.7,5.9,5.1,76.0,61,2,Yes,5,6.0,8,Medium,No Risk
1445,19,Male,Graduate,Low,71.5,3.2,5.0,2.3,74.0,80,4,No,8,9.0,9,Medium,No Risk
1446,18,Female,Graduate,Medium,78.0,2.5,6.7,3.1,56.0,90,7,Yes,7,5.0,8,Medium,No Risk
1447,25,Male,High School,High,86.1,4.4,,2.3,100.0,76,1,Yes,2,2.0,8,High,No Risk
1448,25,Male,Graduate,Low,100.0,3.0,,4.4,90.0,62,2,Yes,8,8.0,13,Medium,No Risk
1449,23,Female,Diploma,High,85.7,4.8,5.3,4.1,70.0,76,10,No,8,7.0,9,High,No Risk
1450,18,Male,High School,Medium,66.9,2.6,7.3,4.4,50.0,54,9,No,5,4.0,7,Low,No Risk
1451,20,Male,High School,High,77.0,4.3,6.2,2.6,39.0,59,6,No,9,1.0,12,Medium,No Risk
1452,18,Female,Diploma,Medium,80.0,3.9,8.9,3.4,100.0,69,2,Yes,7,3.0,10,Medium,No Risk
1453,18,Female,Diploma,High,72.3,4.5,8.3,4.2,73.0,73,3,No,10,5.0,3,Medium,No Risk
1454,19,Female,Postgraduate,High,83.2,7.4,5.5,6.1,87.0,56,8,No,8,5.0,9,High,No Risk
1455,22,Male,Diploma,High,53.0,4.9,6.8,4.0,62.0,75,8,No,10,8.0,9,Medium,High Risk
1456,18,Female,Diploma,Medium,84.1,5.4,6.1,1.8,71.0,79,3,No,9,4.0,6,High,No Risk
1457,25,Female,Graduate,Low,72.8,3.4,5.6,4.0,72.0,69,1,No,4,1.0,12,Medium,No Risk
1458,21,Female,Graduate,Medium,76.8,4.9,6.9,3.2,80.0,44,10,No,2,9.0,12,Medium,High Risk
1459,20,Male,High School,Medium,94.1,4.0,8.0,0.1,,73,8,Yes,7,4.0,11,High,No Risk
1460,22,Male,Graduate,Low,64.1,4.6,6.9,0.4,62.0,96,7,Yes,6,3.0,8,High,No Risk
1461,24,Male,High School,High,81.0,5.7,6.4,3.4,62.0,78,9,No,10,8.0,4,Medium,No Risk
1462,20,Male,Diploma,Low,86.7,3.6,4.4,3.5,75.0,72,5,Yes,10,5.0,9,Medium,No Risk
1463,18,Female,Graduate,High,79.9,3.8,6.2,3.0,50.0,67,2,Yes,1,5.0,13,Medium,No Risk
1464,18,Male,Graduate,Medium,60.2,3.6,7.7,5.0,64.0,80,1,No,3,3.0,9,Medium,No Risk
1465,24,Male,Diploma,High,92.9,3.6,5.4,1.9,74.0,75,10,No,6,9.0,6,High,No Risk
1466,18,Male,,High,75.7,4.8,8.5,1.1,82.0,81,7,Yes,7,6.0,10,High,No Risk
1467,23,Male,Diploma,Medium,72.2,3.8,6.3,2.1,99.0,58,8,No,4,4.0,8,Medium,No Risk
1468,21,Male,Diploma,Medium,,7.2,7.2,2.5,69.0,74,4,Yes,3,4.0,8,High,No Risk
1469,24,Male,Postgraduate,Low,73.8,9.3,6.5,3.4,,66,2,Yes,5,5.0,7,High,No Risk
1470,18,Male,Diploma,High,64.9,3.5,5.6,2.1,48.0,77,8,Yes,9,7.0,7,Medium,No Risk
1471,25,Female,Postgraduate,High,79.8,5.0,7.5,0.0,81.0,47,8,No,10,3.0,7,Medium,Medium Risk
1472,23,Male,Diploma,Medium,71.4,6.4,6.3,0.0,62.0,67,8,Yes,8,9.0,9,Medium,No Risk
1473,21,Female,,Low,85.4,4.0,6.0,3.7,71.0,79,6,No,2,4.0,8,High,No Risk
1474,19,Male,High School,Medium,,2.7,4.1,1.6,83.0,81,7,Yes,10,8.0,11,Medium,No Risk
1475,25,Male,High School,Low,95.9,7.6,8.6,0.1,,72,4,Yes,6,10.0,9,High,No Risk
1476,20,Male,High School,High,75.7,5.7,7.0,4.6,54.0,44,3,Yes,7,4.0,11,Medium,Medium Risk
1477,21,Male,High School,Medium,,5.1,8.3,6.1,88.0,80,1,No,7,6.0,9,High,No Risk
1478,21,Male,Postgraduate,High,61.8,7.1,7.7,3.3,75.0,93,2,No,5,6.0,6,High,No Risk
1479,19,Male,Graduate,High,100.0,5.9,8.3,4.0,95.0,61,5,Yes,6,8.0,1,High,No Risk
1480,21,Female,Graduate,High,85.3,4.4,6.3,4.0,98.0,66,5,No,6,4.0,9,High,No Risk
1481,19,Male,,Medium,70.4,2.7,5.4,0.0,,82,5,Yes,2,8.0,7,High,No Risk
1482,18,Male,Graduate,Medium,96.6,3.6,7.9,5.0,55.0,83,5,Yes,8,7.0,14,Medium,No Risk
1483,20,Female,Graduate,High,92.9,6.7,7.2,5.6,82.0,86,3,Yes,4,4.0,8,High,No Risk
1484,18,Male,Graduate,Medium,63.1,5.7,6.4,6.6,52.0,85,7,Yes,8,9.0,7,Medium,No Risk
1485,21,Male,Graduate,High,69.7,4.2,7.9,2.8,96.0,52,5,No,1,1.0,6,Medium,No Risk
1486,24,Male,Graduate,Medium,76.5,7.7,7.4,1.6,98.0,66,6,No,2,9.0,5,High,No Risk
1487,19,Male,High School,Low,66.2,4.2,7.8,5.8,91.0,80,6,No,3,4.0,6,High,No Risk
1488,18,Male,Postgraduate,High,76.9,6.3,5.8,4.3,70.0,71,5,No,3,9.0,6,High,No Risk
1489,18,Female,High School,High,85.8,4.9,8.2,5.0,84.0,77,6,No,2,3.0,7,High,No Risk
1490,22,Female,Diploma,Low,62.9,8.0,7.0,2.4,68.0,70,5,Yes,7,5.0,12,High,No Risk
1491,20,Female,Postgraduate,Medium,81.2,5.9,8.3,4.0,76.0,66,4,Yes,1,2.0,4,High,No Risk
1492,21,Male,High School,Low,90.9,4.6,8.2,1.7,75.0,69,6,Yes,2,9.0,14,High,No Risk
1493,18,Male,High School,Medium,82.4,4.2,7.8,3.5,46.0,57,7,Yes,7,8.0,9,Medium,No Risk
1494,20,Male,Diploma,Medium,77.2,4.5,6.9,2.9,64.0,63,9,Yes,7,4.0,10,Medium,No Risk
1495,21,Male,Diploma,Medium,70.7,3.2,7.9,7.5,100.0,71,1,Yes,7,7.0,12,Medium,No Risk
1496,21,Male,Postgraduate,Low,87.1,2.0,8.3,4.4,75.0,71,2,No,9,2.0,14,Medium,No Risk
1497,22,Male,Graduate,Medium,65.1,5.1,7.7,0.0,78.0,79,2,Yes,8,7.0,7,Medium,No Risk
1498,24,Male,Diploma,Medium,80.7,3.5,7.2,3.5,76.0,68,1,No,4,6.0,10,Medium,No Risk
1499,21,Male,Postgraduate,Low,78.3,3.5,7.9,4.1,70.0,94,9,No,7,9.0,7,High,No Risk
1500,24,Male,Graduate,Medium,90.4,4.3,6.4,2.7,77.0,88,3,Yes,3,6.0,6,High,No Risk
1501,22,Female,Postgraduate,Medium,71.6,4.6,8.8,1.6,70.0,65,3,Yes,9,4.0,10,Medium,No Risk
1502,20,Male,High School,Medium,72.5,4.5,5.0,4.6,42.0,75,4,No,9,8.0,12,Medium,No Risk
1503,19,Female,Diploma,Medium,64.3,7.6,7.0,1.9,88.0,88,9,No,6,8.0,15,High,No Risk
1504,20,Male,High School,Low,82.8,5.7,6.5,4.5,100.0,64,7,No,5,9.0,8,High,No Risk
1505,22,Female,High School,Low,73.3,8.3,6.2,1.7,59.0,62,2,No,7,7.0,1,High,No Risk
1506,19,Male,Graduate,High,68.5,3.7,7.4,2.6,70.0,89,9,Yes,9,9.0,8,Medium,No Risk
1507,25,Male,High School,High,69.6,5.9,5.6,5.1,98.0,81,10,No,10,7.0,6,High,No Risk
1508,21,Male,Diploma,High,83.9,3.8,9.6,4.3,64.0,86,8,No,1,8.0,5,High,No Risk
1509,24,Male,Graduate,High,65.9,3.5,5.4,3.6,82.0,76,5,No,7,10.0,9,Medium,No Risk
1510,23,Female,High School,Medium,66.8,8.4,5.9,3.4,100.0,69,10,Yes,3,7.0,4,High,No Risk
1511,20,Male,Diploma,High,87.9,3.1,5.7,3.7,85.0,55,1,No,1,6.0,9,Medium,No Risk
1512,19,Male,Graduate,Medium,76.2,0.5,7.2,2.2,77.0,74,1,No,1,1.0,6,Medium,No Risk
1513,23,Female,Postgraduate,Medium,88.5,3.2,8.2,0.9,89.0,88,8,Yes,1,3.0,9,High,No Risk
1514,20,Male,High School,High,74.0,0.9,7.6,4.5,88.0,88,2,No,5,2.0,8,Medium,No Risk
1515,19,Female,Postgraduate,Medium,78.0,2.8,8.8,6.1,66.0,86,1,Yes,9,3.0,4,Medium,No Risk
1516,25,Female,Graduate,Medium,79.7,3.0,6.0,4.5,50.0,82,1,No,9,2.0,7,Medium,No Risk
1517,21,Male,Graduate,Medium,93.3,4.6,7.8,3.9,85.0,100,5,No,8,7.0,10,High,No Risk
1518,18,Male,Diploma,Medium,92.4,0.8,,1.4,87.0,52,7,No,7,3.0,9,Medium,No Risk
1519,21,Male,Graduate,Medium,90.7,6.7,7.3,5.0,,75,5,Yes,7,3.0,6,High,No Risk
1520,21,Female,,High,71.1,1.1,8.3,4.3,,60,5,Yes,1,9.0,3,Medium,No Risk
1521,24,Male,Diploma,Medium,67.1,4.3,5.0,4.8,98.0,92,2,Yes,9,5.0,6,High,No Risk
1522,23,Male,Postgraduate,Low,86.4,3.9,9.4,5.3,88.0,65,4,No,1,8.0,12,High,No Risk
1523,19,Male,Postgraduate,Medium,93.1,6.0,6.8,6.2,72.0,85,10,Yes,8,1.0,10,High,No Risk
1524,19,Female,Diploma,Medium,90.8,5.1,5.1,1.6,45.0,66,4,No,8,7.0,11,Medium,No Risk
1525,22,Female,Graduate,Medium,78.1,6.6,6.2,1.3,73.0,77,4,No,3,9.0,8,High,No Risk
1526,18,Female,Diploma,Medium,86.0,3.8,7.1,3.8,48.0,71,9,Yes,1,2.0,8,High,No Risk
1527,20,Female,Graduate,Medium,86.2,3.7,6.2,1.9,41.0,72,1,Yes,9,2.0,11,Medium,No Risk
1528,19,Female,Graduate,Medium,79.6,5.2,4.5,1.6,86.0,76,1,Yes,3,7.0,14,High,No Risk
1529,18,Male,High School,Medium,80.1,6.4,7.1,5.6,94.0,84,9,No,6,7.0,9,High,No Risk
1530,25,Female,High School,Medium,79.1,6.0,6.1,1.8,47.0,71,4,No,7,8.0,7,Medium,No Risk
1531,18,Male,Diploma,Medium,69.3,5.1,7.8,3.5,72.0,84,3,No,5,3.0,10,High,No Risk
1532,18,Male,Postgraduate,Medium,70.5,4.9,5.7,0.7,76.0,85,5,Yes,3,4.0,12,High,No Risk
1533,25,Female,Diploma,Low,70.3,4.4,9.7,3.6,72.0,67,1,No,5,1.0,7,Medium,No Risk
1534,19,Female,Postgraduate,Medium,60.4,5.2,7.6,5.5,55.0,97,5,Yes,5,3.0,12,High,No Risk
1535,24,Male,Diploma,Medium,79.6,8.2,7.2,5.6,96.0,82,1,Yes,5,7.0,9,High,No Risk
1536,18,Male,High School,Medium,77.6,4.1,7.7,5.3,56.0,66,7,No,4,7.0,7,Medium,No Risk
1537,19,Male,Postgraduate,High,86.4,3.8,4.8,3.4,47.0,80,9,Yes,1,6.0,5,High,No Risk
1538,18,Female,Graduate,Medium,91.9,3.7,,5.4,55.0,85,7,No,4,2.0,15,High,No Risk
1539,23,Male,Diploma,High,92.6,5.2,9.1,4.2,83.0,80,2,No,4,9.0,16,High,Medium Risk
1540,22,Female,High School,Medium,93.6,0.7,6.6,2.8,72.0,75,9,No,3,6.0,11,Medium,No Risk
1541,21,Male,High School,Medium,69.7,4.3,6.9,4.1,,30,7,Yes,2,1.0,6,Low,Medium Risk
1542,19,Female,High School,High,62.2,6.1,6.4,5.0,,59,9,Yes,5,10.0,8,Medium,No Risk
1543,18,Male,Diploma,Medium,88.2,3.6,8.8,1.2,81.0,81,10,No,10,6.0,5,Medium,No Risk
1544,22,Female,Graduate,High,93.2,4.8,6.7,1.7,41.0,59,4,Yes,2,1.0,10,Medium,No Risk
1545,19,Male,Diploma,High,95.1,8.3,5.5,3.3,84.0,79,10,No,7,5.0,8,High,No Risk
1546,22,Male,High School,Medium,83.3,,10.0,1.4,94.0,84,9,No,10,2.0,8,High,No Risk
1547,23,Male,High School,High,56.0,,5.3,1.4,74.0,71,6,Yes,10,1.0,8,Low,High Risk
1548,24,Male,Diploma,High,82.0,2.0,6.9,2.8,72.0,49,7,Yes,4,6.0,5,Medium,High Risk
1549,21,Male,Postgraduate,Medium,84.1,4.0,6.0,5.2,100.0,62,5,Yes,2,1.0,9,High,No Risk
1550,18,Female,Diploma,Low,91.8,3.1,6.2,5.2,65.0,81,9,Yes,8,1.0,10,Medium,No Risk
1551,20,Female,High School,Medium,93.7,4.7,5.7,4.0,74.0,88,1,No,4,5.0,8,High,No Risk
1552,24,Female,Graduate,High,88.0,4.0,6.4,3.8,81.0,45,5,No,3,8.0,1,Medium,High Risk
1553,22,Female,Postgraduate,High,71.5,6.6,8.2,7.0,77.0,73,2,No,8,4.0,4,High,No Risk
1554,22,Male,Graduate,High,66.7,2.5,4.7,2.6,72.0,53,1,Yes,3,,13,Medium,No Risk
1555,21,Female,Graduate,Medium,83.9,4.1,8.5,3.9,77.0,73,10,Yes,6,8.0,5,High,No Risk
1556,19,Female,Postgraduate,Low,69.3,4.9,8.3,2.5,100.0,70,7,No,5,2.0,14,High,No Risk
1557,25,Male,Graduate,Medium,94.2,5.1,7.6,1.3,88.0,100,5,No,9,3.0,8,High,No Risk
1558,24,Female,Postgraduate,Medium,59.2,4.8,7.2,5.5,75.0,65,10,No,8,6.0,7,Medium,High Risk
1559,25,Male,High School,Low,84.2,0.5,7.3,3.0,63.0,86,1,Yes,4,2.0,7,Medium,No Risk
1560,24,Female,Graduate,Low,81.5,4.6,8.7,4.7,65.0,85,10,No,1,9.0,5,High,No Risk
1561,20,Female,Postgraduate,Low,75.7,4.2,4.9,3.1,90.0,69,5,Yes,3,8.0,10,High,No Risk
1562,20,Female,Postgraduate,Low,67.8,6.1,7.9,5.6,52.0,74,2,No,2,4.0,10,High,No Risk
1563,19,Male,Diploma,Medium,55.3,5.8,6.1,1.8,100.0,72,3,No,8,8.0,10,Medium,High Risk
1564,25,Female,Graduate,Medium,72.2,4.9,8.0,5.5,76.0,62,5,No,8,1.0,5,Medium,No Risk
1565,22,Male,High School,Medium,72.3,5.1,6.3,5.0,55.0,61,9,No,1,9.0,11,Medium,No Risk
1566,21,Female,Graduate,Medium,90.2,6.9,7.8,0.4,,67,9,No,4,4.0,8,High,No Risk
1567,25,Male,Diploma,High,69.4,6.6,5.1,2.6,64.0,57,2,Yes,2,10.0,9,High,No Risk
1568,22,Female,Graduate,Medium,83.0,5.0,,5.2,70.0,65,5,No,9,1.0,8,Medium,No Risk
1569,25,Female,Graduate,Medium,63.8,8.4,6.9,6.3,53.0,69,5,No,8,3.0,10,High,No Risk
1570,25,Male,Diploma,Medium,83.3,3.4,8.7,4.7,72.0,74,6,Yes,2,2.0,5,High,No Risk
1571,18,Male,High School,Medium,53.4,2.4,7.6,2.8,44.0,78,6,No,7,7.0,9,Low,Medium Risk
1572,20,Female,Diploma,Medium,100.0,4.5,7.6,1.9,67.0,69,10,No,9,5.0,14,Medium,No Risk
1573,23,Male,Graduate,Medium,76.4,3.8,8.0,4.5,64.0,62,3,Yes,1,1.0,11,Medium,No Risk
1574,24,Male,Graduate,Medium,47.3,0.5,6.5,2.8,68.0,78,5,Yes,7,9.0,4,Low,Medium Risk
1575,19,Male,Graduate,Medium,70.1,3.3,7.7,2.8,65.0,82,3,Yes,6,4.0,5,Medium,No Risk
1576,20,Male,High School,Medium,68.4,5.1,6.3,3.1,77.0,66,2,Yes,2,9.0,5,High,No Risk
1577,22,Female,Graduate,Medium,70.8,4.4,,5.0,89.0,59,4,No,10,4.0,5,Medium,No Risk
1578,24,Female,Graduate,Medium,,3.1,6.8,6.6,81.0,66,1,No,1,8.0,9,Medium,No Risk
1579,18,Male,High School,Medium,70.7,4.6,6.3,5.2,95.0,70,8,Yes,5,10.0,6,High,No Risk
1580,22,Male,Diploma,Medium,69.0,4.7,6.9,3.5,69.0,87,5,No,9,9.0,7,Medium,No Risk
1581,20,Male,Diploma,Medium,65.3,5.8,6.7,2.0,,81,5,Yes,4,7.0,7,High,No Risk
1582,19,Male,Diploma,Low,87.0,3.3,6.2,4.6,81.0,72,6,No,3,6.0,6,High,No Risk
1583,22,Female,High School,Medium,91.2,6.1,6.8,6.3,93.0,97,6,No,8,9.0,6,High,No Risk
1584,21,Male,High School,Medium,75.2,2.5,7.2,5.2,65.0,72,10,Yes,3,10.0,11,Medium,No Risk
1585,23,Female,High School,Medium,77.8,3.6,5.7,3.9,88.0,90,6,Yes,6,5.0,8,High,No Risk
1586,20,Female,High School,Medium,65.6,7.6,7.5,2.7,,88,8,No,2,9.0,16,High,Medium Risk
1587,24,Female,High School,Low,78.8,2.7,6.4,4.1,67.0,87,9,Yes,1,1.0,5,High,No Risk
1588,18,Female,Graduate,Low,80.5,3.3,7.2,5.5,71.0,76,1,No,4,7.0,5,Medium,No Risk
1589,24,Male,Diploma,Medium,75.6,2.2,6.2,3.9,83.0,74,9,Yes,2,10.0,7,Medium,No Risk
1590,18,Male,Diploma,Low,82.4,3.0,8.3,3.3,60.0,72,9,Yes,6,3.0,6,Medium,No Risk
1591,23,Male,Graduate,Medium,81.4,4.7,8.1,2.3,62.0,83,7,No,5,9.0,10,High,No Risk
1592,20,Female,Diploma,Medium,66.4,5.8,5.7,7.9,66.0,62,1,Yes,5,8.0,7,Medium,No Risk
1593,21,Female,High School,High,91.1,4.5,7.6,2.0,77.0,69,1,No,10,2.0,6,Medium,No Risk
1594,18,Male,High School,Medium,75.7,3.9,8.7,1.8,62.0,94,1,No,9,9.0,6,Medium,No Risk
1595,23,Male,High School,Low,96.4,2.3,5.9,3.8,80.0,80,8,No,5,7.0,8,High,No Risk
1596,19,Male,Graduate,Medium,82.6,3.2,6.0,3.2,71.0,84,6,No,2,5.0,5,High,No Risk
1597,23,Female,Diploma,Medium,99.7,1.7,7.9,5.2,86.0,56,4,No,3,3.0,9,Medium,No Risk
1598,23,Female,Diploma,Medium,90.9,5.8,5.4,5.3,77.0,66,6,No,8,4.0,2,High,No Risk
1599,24,Female,Graduate,High,80.5,6.0,6.1,1.4,100.0,76,5,Yes,9,5.0,10,High,No Risk
1600,23,Female,Postgraduate,Medium,70.0,4.4,5.8,2.2,78.0,71,4,Yes,10,4.0,5,Medium,No Risk
1601,20,Male,Diploma,Low,70.3,5.3,7.9,2.0,58.0,56,8,No,10,5.0,11,Medium,No Risk
1602,23,Female,Diploma,Low,83.9,6.1,6.2,4.8,73.0,82,5,Yes,1,,10,High,No Risk
1603,24,Female,Diploma,High,79.6,4.7,6.7,4.2,76.0,86,6,No,9,3.0,6,High,No Risk
1604,20,Male,Graduate,High,,7.0,,2.9,62.0,68,10,No,8,10.0,4,Medium,No Risk
1605,18,Female,Graduate,High,87.2,2.7,8.4,3.9,99.0,82,10,No,2,,9,High,No Risk
1606,25,Male,Graduate,Medium,78.4,,6.0,1.6,71.0,98,7,No,3,5.0,6,High,No Risk
1607,19,Female,High School,Medium,87.2,3.7,5.3,2.2,66.0,92,10,No,10,5.0,8,Medium,No Risk
1608,22,Female,Diploma,Low,67.3,5.7,5.3,1.3,79.0,69,4,Yes,5,2.0,8,High,No Risk
1609,19,Female,Graduate,Medium,89.0,1.9,7.8,3.7,62.0,58,4,Yes,7,6.0,11,Medium,No Risk
1610,19,Male,Diploma,Medium,83.5,7.1,7.9,3.7,,75,10,No,1,1.0,8,High,No Risk
